Version;1
Sampling cycle;200us
Out count;1
Data count;89421
First index;995806

;OUT02
Display unit;0,001um
Upper limit;500,000um
Lower limit;-500,000um

Trigger count;OUT02(um);
996370;2,500;GO
996371;2,500;GO
996372;2,500;GO
996373;2,500;GO
996374;2,500;GO
996375;2,500;GO
996376;2,500;GO
996377;2,500;GO
996378;2,500;GO
996379;2,500;GO
996380;2,500;GO
996381;2,500;GO
996382;2,500;GO
996383;2,500;GO
996384;2,500;GO
996385;2,500;GO
996386;2,500;GO
996387;2,500;GO
996388;2,500;GO
996389;2,500;GO
996390;2,500;GO
996391;2,500;GO
996392;2,500;GO
996393;2,500;GO
996394;2,500;GO
996395;2,500;GO
996396;2,500;GO
996397;2,500;GO
996398;2,500;GO
996399;2,500;GO
996400;2,500;GO
996401;2,500;GO
996402;2,500;GO
996403;2,500;GO
996404;2,500;GO
996405;2,500;GO
996406;2,500;GO
996407;2,500;GO
996408;2,500;GO
996409;2,500;GO
996410;2,500;GO
996411;2,500;GO
996412;2,500;GO
996413;2,500;GO
996414;2,500;GO
996415;2,500;GO
996416;2,500;GO
996417;2,500;GO
996418;2,500;GO
996419;2,500;GO
996420;2,500;GO
996421;2,500;GO
996422;2,500;GO
996423;2,500;GO
996424;2,500;GO
996425;2,500;GO
996426;2,500;GO
996427;2,500;GO
996428;2,500;GO
996429;2,500;GO
996430;2,500;GO
996431;2,500;GO
996432;2,500;GO
996433;2,500;GO
996434;2,500;GO
996435;2,500;GO
996436;2,500;GO
996437;2,500;GO
996438;2,500;GO
996439;2,500;GO
996440;2,500;GO
996441;2,500;GO
996442;2,500;GO
996443;2,500;GO
996444;2,500;GO
996445;2,500;GO
996446;2,500;GO
996447;2,500;GO
996448;2,500;GO
996449;2,500;GO
996450;2,500;GO
996451;2,500;GO
996452;2,500;GO
996453;2,500;GO
996454;2,500;GO
996455;2,500;GO
996456;2,500;GO
996457;2,500;GO
996458;2,500;GO
996459;2,500;GO
996460;2,500;GO
996461;2,500;GO
996462;2,500;GO
996463;2,500;GO
996464;2,500;GO
996465;2,500;GO
996466;2,500;GO
996467;2,500;GO
996468;2,500;GO
996469;2,500;GO
996470;2,500;GO
996471;2,500;GO
996472;2,500;GO
996473;2,500;GO
996474;2,500;GO
996475;2,500;GO
996476;2,500;GO
996477;2,500;GO
996478;2,500;GO
996479;2,500;GO
996480;2,500;GO
996481;2,500;GO
996482;2,500;GO
996483;2,500;GO
996484;2,500;GO
996485;2,500;GO
996486;2,500;GO
996487;2,500;GO
996488;2,500;GO
996489;2,500;GO
996490;2,500;GO
996491;2,500;GO
996492;2,500;GO
996493;2,500;GO
996494;2,500;GO
996495;2,500;GO
996496;2,500;GO
996497;2,500;GO
996498;2,500;GO
996499;2,500;GO
996500;2,500;GO
996501;2,500;GO
996502;2,500;GO
996503;2,500;GO
996504;2,500;GO
996505;2,500;GO
996506;2,500;GO
996507;2,500;GO
996508;2,500;GO
996509;2,500;GO
996510;2,500;GO
996511;2,500;GO
996512;2,500;GO
996513;2,500;GO
996514;2,500;GO
996515;2,500;GO
996516;2,500;GO
996517;2,500;GO
996518;2,500;GO
996519;2,500;GO
996520;2,500;GO
996521;2,500;GO
996522;2,500;GO
996523;2,500;GO
996524;2,500;GO
996525;2,500;GO
996526;2,500;GO
996527;2,500;GO
996528;2,500;GO
996529;2,500;GO
996530;2,500;GO
996531;2,500;GO
996532;2,500;GO
996533;2,500;GO
996534;2,500;GO
996535;2,500;GO
996536;2,500;GO
996537;2,500;GO
996538;2,500;GO
996539;2,500;GO
996540;2,500;GO
996541;2,500;GO
996542;2,500;GO
996543;2,500;GO
996544;2,500;GO
996545;2,500;GO
996546;2,500;GO
996547;2,500;GO
996548;2,500;GO
996549;2,500;GO
996550;2,500;GO
996551;2,500;GO
996552;2,500;GO
996553;2,500;GO
996554;2,500;GO
996555;2,500;GO
996556;2,500;GO
996557;2,500;GO
996558;2,500;GO
996559;2,500;GO
996560;2,500;GO
996561;2,500;GO
996562;2,500;GO
996563;2,500;GO
996564;2,500;GO
996565;2,500;GO
996566;2,500;GO
996567;2,500;GO
996568;2,500;GO
996569;2,500;GO
996570;2,500;GO
996571;2,500;GO
996572;2,500;GO
996573;2,500;GO
996574;2,500;GO
996575;2,500;GO
996576;2,500;GO
996577;2,500;GO
996578;2,500;GO
996579;2,500;GO
996580;2,500;GO
996581;2,500;GO
996582;2,500;GO
996583;2,500;GO
996584;2,500;GO
996585;2,500;GO
996586;2,500;GO
996587;2,500;GO
996588;2,500;GO
996589;2,500;GO
996590;2,500;GO
996591;2,750;GO
996592;2,750;GO
996593;2,750;GO
996594;2,750;GO
996595;2,750;GO
996596;2,750;GO
996597;2,750;GO
996598;2,750;GO
996599;2,750;GO
996600;2,750;GO
996601;2,750;GO
996602;2,750;GO
996603;2,750;GO
996604;2,750;GO
996605;2,750;GO
996606;2,750;GO
996607;2,750;GO
996608;2,750;GO
996609;2,750;GO
996610;2,750;GO
996611;2,750;GO
996612;2,750;GO
996613;2,750;GO
996614;2,750;GO
996615;2,750;GO
996616;2,750;GO
996617;2,750;GO
996618;2,750;GO
996619;2,750;GO
996620;2,750;GO
996621;2,750;GO
996622;2,750;GO
996623;2,750;GO
996624;2,750;GO
996625;2,750;GO
996626;2,750;GO
996627;2,750;GO
996628;2,750;GO
996629;2,750;GO
996630;2,750;GO
996631;2,750;GO
996632;2,750;GO
996633;2,750;GO
996634;2,750;GO
996635;2,750;GO
996636;2,750;GO
996637;2,750;GO
996638;2,750;GO
996639;2,750;GO
996640;2,750;GO
996641;2,750;GO
996642;2,750;GO
996643;2,750;GO
996644;2,750;GO
996645;2,750;GO
996646;2,750;GO
996647;2,750;GO
996648;2,750;GO
996649;2,750;GO
996650;2,750;GO
996651;2,750;GO
996652;2,750;GO
996653;2,750;GO
996654;2,750;GO
996655;2,750;GO
996656;2,750;GO
996657;2,750;GO
996658;2,750;GO
996659;2,750;GO
996660;2,750;GO
996661;2,750;GO
996662;2,750;GO
996663;2,750;GO
996664;2,750;GO
996665;2,750;GO
996666;2,750;GO
996667;2,750;GO
996668;2,750;GO
996669;2,750;GO
996670;2,750;GO
996671;2,750;GO
996672;2,750;GO
996673;2,750;GO
996674;2,750;GO
996675;2,750;GO
996676;2,750;GO
996677;2,750;GO
996678;2,750;GO
996679;2,750;GO
996680;2,750;GO
996681;2,750;GO
996682;2,750;GO
996683;2,750;GO
996684;2,750;GO
996685;2,750;GO
996686;2,750;GO
996687;2,750;GO
996688;2,750;GO
996689;2,750;GO
996690;2,750;GO
996691;2,750;GO
996692;2,750;GO
996693;2,750;GO
996694;2,750;GO
996695;2,750;GO
996696;2,750;GO
996697;2,750;GO
996698;2,750;GO
996699;2,750;GO
996700;2,750;GO
996701;2,750;GO
996702;2,750;GO
996703;2,750;GO
996704;2,750;GO
996705;2,750;GO
996706;2,750;GO
996707;2,750;GO
996708;2,750;GO
996709;2,750;GO
996710;2,750;GO
996711;2,750;GO
996712;2,750;GO
996713;2,750;GO
996714;2,750;GO
996715;2,750;GO
996716;2,750;GO
996717;2,750;GO
996718;2,750;GO
996719;2,750;GO
996720;2,750;GO
996721;2,750;GO
996722;2,750;GO
996723;2,750;GO
996724;2,750;GO
996725;2,750;GO
996726;2,750;GO
996727;2,750;GO
996728;2,750;GO
996729;2,750;GO
996730;2,750;GO
996731;2,750;GO
996732;2,750;GO
996733;2,750;GO
996734;2,750;GO
996735;2,750;GO
996736;2,750;GO
996737;2,750;GO
996738;2,750;GO
996739;2,750;GO
996740;2,750;GO
996741;2,750;GO
996742;2,750;GO
996743;2,750;GO
996744;2,750;GO
996745;2,750;GO
996746;2,750;GO
996747;2,750;GO
996748;2,750;GO
996749;2,750;GO
996750;2,750;GO
996751;2,750;GO
996752;2,750;GO
996753;2,750;GO
996754;2,750;GO
996755;2,750;GO
996756;2,750;GO
996757;2,750;GO
996758;2,750;GO
996759;2,750;GO
996760;2,750;GO
996761;2,750;GO
996762;2,750;GO
996763;2,750;GO
996764;2,750;GO
996765;2,750;GO
996766;2,750;GO
996767;2,750;GO
996768;2,750;GO
996769;2,750;GO
996770;2,750;GO
996771;2,750;GO
996772;2,750;GO
996773;2,750;GO
996774;2,750;GO
996775;2,750;GO
996776;2,750;GO
996777;2,750;GO
996778;2,750;GO
996779;2,750;GO
996780;2,750;GO
996781;2,750;GO
996782;2,750;GO
996783;2,750;GO
996784;2,750;GO
996785;2,750;GO
996786;2,750;GO
996787;2,750;GO
996788;2,750;GO
996789;2,750;GO
996790;2,750;GO
996791;2,750;GO
996792;2,750;GO
996793;2,750;GO
996794;2,750;GO
996795;2,750;GO
996796;2,750;GO
996797;2,750;GO
996798;2,750;GO
996799;2,750;GO
996800;2,750;GO
996801;2,750;GO
996802;2,750;GO
996803;2,750;GO
996804;2,750;GO
996805;2,750;GO
996806;2,750;GO
996807;2,750;GO
996808;2,750;GO
996809;2,750;GO
996810;2,750;GO
996811;2,750;GO
996812;2,750;GO
996813;2,750;GO
996814;2,750;GO
996815;2,750;GO
996816;2,750;GO
996817;2,750;GO
996818;2,750;GO
996819;2,750;GO
996820;2,750;GO
996821;2,750;GO
996822;2,750;GO
996823;2,750;GO
996824;2,750;GO
996825;2,750;GO
996826;2,750;GO
996827;2,750;GO
996828;2,750;GO
996829;2,750;GO
996830;2,750;GO
996831;2,750;GO
